#Release 13.4 - par O.87xd (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Oct 23 21:47:59 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       CDBunit_map.ncd
#OUTPUT FILE:      CDBunit_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R8,,DIFFM,IO_L10P_2,UNUSED,,2,,,,,,,,,
R9,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
R10,,DIFFM,IO_L15P_2/D2/GCLK2,UNUSED,,2,,,,,,,,,
R11,,IOB,IO,UNUSED,,2,,,,,,,,,
R12,CDBout<4>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R13,CDBout<1>,IOB,IO_L22N_2/A22,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R14,CDBout<3>,IOB,IO_L24N_2/A20,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R15,,DIFFM,IO_L03P_1,UNUSED,,1,,,,,,,,,
R16,,DIFFS,IO_L03N_1/VREF_1,UNUSED,,1,,,,,,,,,
R17,,IBUF,IP,UNUSED,,1,,,,,,,,,
R18,,DIFFM,IO_L02P_1/A14,UNUSED,,1,,,,,,,,,
T1,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,
T2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,
T3,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
T4,,DIFFS,IO_L03N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
T5,,DIFFS,IO_L04N_2,UNUSED,,2,,,,,,,,,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
T7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
T8,,DIFFS,IO_L10N_2,UNUSED,,2,,,,,,,,,
T9,,,GND,,,,,,,,,,,,
T10,,DIFFSI,IP_L14N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
T11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
T12,CDBout<2>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T13,,,VCCO_2,,,2,,,,,2.50,,,,
T14,,DIFFM,IO_L24P_2/A21,UNUSED,,2,,,,,,,,,
T15,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
T16,,DIFFM,IO_L26P_2/VS0/A17,UNUSED,,2,,,,,,,,,
T17,,DIFFS,IO_L01N_1/A15,UNUSED,,1,,,,,,,,,
T18,,DIFFS,IO_L02N_1/A13,UNUSED,,1,,,,,,,,,
U1,,IBUF,IP,UNUSED,,3,,,,,,,,,
U2,,,GND,,,,,,,,,,,,
U3,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
U4,,DIFFM,IO_L03P_2/DOUT/BUSY,UNUSED,,2,,,,,,,,,
U5,,IOB,IO/VREF_2,UNUSED,,2,,,,,,,,,
U6,,IOB,IO,UNUSED,,2,,,,,,,,,
U7,,,VCCAUX,,,,,,,,2.5,,,,
U8,,DIFFMI,IP_L11P_2,UNUSED,,2,,,,,,,,,
U9,,DIFFM,IO_L13P_2/D4/GCLK14,UNUSED,,2,,,,,,,,,
U10,,DIFFMI,IP_L14P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
U11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
U12,,,VCCAUX,,,,,,,,2.5,,,,
U13,,IOB,IO,UNUSED,,2,,,,,,,,,
U14,,DIFFSI,IP_L23N_2,UNUSED,,2,,,,,,,,,
U15,,DIFFS,IO_L25N_2/VS1/A18,UNUSED,,2,,,,,,,,,
U16,,DIFFS,IO_L26N_2/CCLK,UNUSED,,2,,,,,,,,,
U17,,,GND,,,,,,,,,,,,
U18,,DIFFM,IO_L01P_1/A16,UNUSED,,1,,,,,,,,,
V1,,,GND,,,,,,,,,,,,
V2,,IBUF,IP,UNUSED,,2,,,,,,,,,
V3,,DIFFSI,IP_L02N_2,UNUSED,,2,,,,,,,,,
V4,,DIFFMI,IP_L02P_2,UNUSED,,2,,,,,,,,,
V5,,DIFFM,IO_L06P_2,UNUSED,,2,,,,,,,,,
V6,,DIFFS,IO_L06N_2/VREF_2,UNUSED,,2,,,,,,,,,
V7,,IOB,IO,UNUSED,,2,,,,,,,,,
V8,,DIFFSI,IP_L11N_2/VREF_2,UNUSED,,2,,,,,,,,,
V9,,DIFFS,IO_L13N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
V10,,,VCCO_2,,,2,,,,,2.50,,,,
V11,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
V12,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,
V13,,DIFFS,IO_L19N_2/VREF_2,UNUSED,,2,,,,,,,,,
V14,,DIFFMI,IP_L23P_2,UNUSED,,2,,,,,,,,,
V15,,DIFFM,IO_L25P_2/VS2/A19,UNUSED,,2,,,,,,,,,
V16,,IBUF,IP,UNUSED,,2,,,,,,,,,
V17,,,DONE,,,,,,,,,,,,
V18,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
